parameter,current_value,current_source,BESTEST_prescribed,VDI_required,derived_or_assumed,reason_suspicious,physical_effect,priority,recommended_check,candidate_test_values,status
infiltration_ach,0.414,case600_defaults.json and case600.json currently use 0.414,UNRESOLVED in repo: user audit expects 0.5 ACH; repo records use 0.414,Hourly ventilation resistance/conductance,BESTEST ACH -> m3/s -> rho*cp*Vdot -> resistance,BESTEST mismatch; derived quantity,"Directly changes ventilation heat loss/gain; 0.414 ACH gives 0.014904 m3/s, 0.5 ACH gives 0.018000 m3/s",Priority 1 - likely incorrect / must fix,Set physical benchmark input to infiltration_ach=0.5 and let RClib convert using full 129.6 m3 volume.,0.414 ACH; 0.5 ACH,UNRESOLVED
IW proxy area,96.0,case_adapter.py: iw_area fallback = 2 * floor_area,No internal partitions or extra IW proxy prescribed,Positive IW branch currently required by RClib VDI two-capacity topology,Assumed/API fallback,VDI closure assumption; implementation workaround; topology ambiguity,Adds internal dynamic capacitance and radiant receiving area; may double-count floor/ceiling mass already in AW.,Priority 1 - likely incorrect / must fix,Implement and test a mathematically valid no-IW path or justify a physical IW component.,0 m2 attempted; 96 m2 current; only physically documented internal surfaces if found,UNRESOLVED
AW/IW classification of floor,"floor = AW exterior, tilt 180 deg",case600_defaults.json opaque_elements; case_adapter.py opaque_aw_surfaces,Floor area and U-value prescribed; exact VDI boundary interpretation not prescribed,Boundary kind/loading class for reduced RC network,Assumed topology,topology ambiguity; solar/boundary assumption,"Floor can enter exterior AW equivalent boundary, capacitance, radiative and convective branches.",Priority 1 - likely incorrect / must fix,Compare Modelica floor boundary semantics with VDI AW exterior/ground/adiabatic options before energy interpretation.,AW exterior current; ground boundary; no exterior solar/lw floor forcing,UNRESOLVED
AW/IW area double counting,opaque AW=159.6 m2; glazing=12.0 m2; IW=96 m2,case600_defaults.json plus adapter IW fallback,Opaque envelope and glazing areas prescribed; IW proxy not prescribed,AW/IW area partitions for Eq. 29/31 and HVAC/radiant allocation,Mixed prescribed + assumed,topology ambiguity; potential double counting,Surface area and capacitance may include floor/ceiling through AW and again through IW proxy.,Priority 1 - likely incorrect / must fix,Trace every physical component into AW and IW component tables and reject duplicate physical mass.,current; no-IW if implemented; documented internal-mass-only option,UNRESOLVED
floor massless insulation proxy,density=1e-9 kg/m3; cp=1e-9 J/kgK,case600_defaults.json construction case600 floor,Thermal resistance prescribed; zero-capacity insulation intent inferred from adopted Modelica mapping,MaterialLayer requires positive density and heat capacity,implementation workaround,implementation workaround; material/layer mapping,"Should be numerically negligible capacitance, but still participates in complex admittance.",Priority 2 - unresolved physical equivalence,Report areal capacitance and compare against timber floor capacity and VDI reduced component outputs.,1e-9 proxy; explicit zero-capacity layer after API fix,OPEN
inside_total_coefficient_w_m2k,8.0,VDIAdapterDefaults,Not directly prescribed as VDI total coefficient,Needed to split fixed 5 W/m2K radiation and convection in Eq. 30,VDI closure assumption,VDI closure assumption; possible film double counting,"Changes room-side convection, radiation network, residual AW resistance and window film exclusion.",Priority 2 - unresolved physical equivalence,Sensitivity at literature/standard values without calibration.,7.7; 8.0; 9.1 W/m2K,OPEN
outside_total_coefficient_w_m2k,25.0,1 / external_surface_resistance = 1 / 0.04,Rse=0.04 m2K/W used in repository inputs,Exterior boundary and film-excluded window resistance,direct derivation,derived quantity; possible film double counting,Affects equivalent outdoor temperature and film exclusion from U-values.,Priority 3 - legitimate VDI closure sensitivity,Confirm U-values include films before Eq. 26 film subtraction.,25 W/m2K; film-exclusion disabled only as diagnostic,OPEN
HVAC radiant/convective fractions,heating 0.60/0.40; cooling 0.30/0.70 conv/rad,VDIAdapterDefaults,Ideal load only; split not prescribed,VDI source allocation requires fractions,cross-model closure assumption,VDI closure assumption,Changes whether ideal HVAC acts on air node or radiant surface/star network.,Priority 3 - legitimate VDI closure sensitivity,Run 100% convective and 100% radiant limits only as diagnostics.,current; 100% convective; 100% radiant,OPEN
VDI native solar and long-wave boundary,isotropic sky; albedo 0.20; EPW horizontal IR; eps ref 0.93; surface eps 0.90,_BR_.py weather/solar builder; VDIAdapterDefaults; ExteriorRadiationBoundary,Weather and selected optical properties prescribed; VDI transposition/allocation choices not fully prescribed,Equivalent boundary temperatures and interior radiant solar allocation,solar/boundary assumption,solar/boundary assumption; possible double solar addition,"Changes opaque sol-air temperatures, window transmitted radiant gains and exterior long-wave correction.",Priority 3 - legitimate VDI closure sensitivity,Keep VDI native solar separate from Modelica aggregate solar forcing; do not add both.,native; Modelica aggregate forcing diagnostic,OPEN
initial storage state and warm-up,zero storage state at 20 C; no tuned warm-up,run_thermostat_case default zero_storage_state,No tuned warm-up prescribed for implementation,State history required by VDI recurrence,numerical/init assumption,numerical/init assumption,May affect first week/month loads and annual totals if year is not periodic.,Priority 4 - numerically minor / documentation only pending sensitivity,"Compare first-week, first-month and annual loads after repeated-year warm-up.",zero; 1 repeated year,OPEN
