parameter,source_file_key,raw_value,vdi_destination,mapping_type,value_used,status,classification,assumption_or_issue
year,argument: year,2023,hourly calendar,direct,2023,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
floor area,geo_params.json/FLOOR_AREA,48.0,RoomGeometry.floor_area_m2,direct,48.0,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
room volume,geo_params.json/VOLUME,129.6,RoomGeometry.volume_m3,direct,129.6,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
opaque wall area,geo_params.json/WALL_AREA,159.6,OpaqueComponent.area_m2,direct,159.6,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
window area,geo_params.json/WINDOW_AREA,12.0,TransparentComponent.area_m2,direct,12.0,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
window U-value,default_params.json/u_windows,3.1,TransparentComponent.baseline_u_value_w_m2k,direct,3.1,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
heating setpoint,default_params.json/t_set_heating,20.0,hourly fixed-temperature input,direct,20.0,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
cooling setpoint,default_params.json/t_set_cooling,27.0,hourly fixed-temperature input,direct,27.0,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
occupancy schedule,bldg_LoD.csv/D (ISO renames to People),1 rows,hourly gains/ventilation adapter,direct,1 rows,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
simulation timestep,EPW and occupancy cadence,1.0,hourly input cadence,direct,1.0,mapped,A. BESTEST prescribed - must not be tuned,Physical meaning retained.
AW surface area,WALL_AREA + WINDOW_AREA,"(159.6, 12.0)",RoomGeometry.aw_surface_area_m2,derived,171.6,mapped,B. Directly derived from BESTEST - calculation should be verified,Opaque and transparent exterior room-side areas.
characteristic height,VOLUME / FLOOR_AREA,"(129.6, 48.0)",RoomGeometry.characteristic_height_m,derived,2.6999999999999997,mapped,B. Directly derived from BESTEST - calculation should be verified,Equivalent whole-building height.
IW eligible area,2 * FLOOR_AREA,48.0,IW component area,inferred,96.0,provisional,E. RClib implementation workaround - should ideally be removed/fixed,Floor plus ceiling only; partitions are absent. Affects dynamics and radiant allocation.
total room surface area,AW area + inferred IW area,"(171.6, 96.0)",RoomGeometry.total_internal_surface_area_m2,inferred,267.6,provisional,E. RClib implementation workaround - should ideally be removed/fixed,Depends on provisional IW topology.
outside coefficient,1 / external_surface_resistance,0.04,outside_alpha_w_m2k,derived,25.0,mapped,B. Directly derived from BESTEST - calculation should be verified,0.04 m²K/W converted to W/(m²K).
latitude,location_params.json/latitude_deg,39.83,weather/solar adapter,direct,39.83,available,A. BESTEST prescribed - must not be tuned,"Used upstream for solar geometry, not static VDI coefficients."
longitude,location_params.json/longitude_deg,-104.65,weather/solar adapter,direct,-104.65,available,A. BESTEST prescribed - must not be tuned,"Used upstream for solar geometry, not static VDI coefficients."
opaque solar absorptance,default_params.json/opaque_solar_absorptivity,0.6,OpaqueComponent.absorptance,direct,0.6,mapped,A. BESTEST prescribed - must not be tuned,Same surface property.
glass solar transmittance,default_params.json/glass_solar_transmittance,0.769,TransparentComponent.solar_transmittance,direct,0.769,mapped,A. BESTEST prescribed - must not be tuned,Transmitted solar remains an hourly indoor source.
frame fraction,default_params.json/frame_fraction,0.0,TransparentComponent.frame_fraction,direct,0.0,mapped,A. BESTEST prescribed - must not be tuned,Same dimensionless fraction.
opaque wall U-value,default_params.json/u_walls,0.53,AW layers and OpaqueComponent.u_value_w_m2k,derived,0.53,provisional,B. Directly derived from BESTEST - calculation should be verified,Insulation thickness is back-calculated after temporary-default films and material identities.
AW material layers,not present,,OpaqueComponent.layers_room_to_outside,temporary default,finish + concrete + 0.0633 m insulation,provisional,D. Cross-model closure assumption - sensitivity required,Non-normative layer identities; strongly affects dynamic response.
IW material layers,not present,,IW layers_room_to_outside,temporary default,gypsum + concrete,provisional,D. Cross-model closure assumption - sensitivity required,Non-normative internal construction; strongly affects dynamics.
inside total coefficient,not present,,prepare_model_case.inside_total_coefficient_w_m2k,temporary default,8.0,provisional,D. Cross-model closure assumption - sensitivity required,Non-normative; sensitivity required.
surface emissivity,not present,,opaque/window emissivity,temporary default,0.9,provisional,D. Cross-model closure assumption - sensitivity required,Non-normative long-wave property.
heating HVAC fractions,not present,,HVACFractions,temporary default,0.60 convective,provisional,D. Cross-model closure assumption - sensitivity required,Remaining fraction is general radiant.
cooling HVAC fractions,not present,,HVACFractions,temporary default,0.30 convective,provisional,D. Cross-model closure assumption - sensitivity required,Remaining fraction is general radiant.
internal-gain convective/radiant split,not present,,hourly internal gain allocation,temporary default,0.40 / 0.60,provisional,D. Cross-model closure assumption - sensitivity required,Source allocation affects hourly air and surface response.
initial VO state,not present,,zero_storage_state policy,temporary default,zero history,provisional,D. Cross-model closure assumption - sensitivity required,Initialization only; warm-up is required.
reference temperature,not present,,PreparedVDI6007Model.reference_temperature_c,temporary default,20.0,provisional,D. Cross-model closure assumption - sensitivity required,Illustrative office reference; fixed per calculation and not normative.
infiltration volume flow,infiltration_ach * NORMAL_ROOM_VOLUME / 3600,"(0.414, 129.6)",hourly ventilation flow,derived,0.014903999999999999,mapped,B. Directly derived from BESTEST - calculation should be verified,Explicit ACH over the normal-room receiving volume; occupancy fresh air remains an hourly addition.
window-opening volume flow,window_opening_ach * VOLUME / 3600,"(0.0, 129.6)",hourly ventilation flow,derived,0.0,mapped,B. Directly derived from BESTEST - calculation should be verified,"Uses the shared hourly ventilation schedule, matching ISO."
ventilation resistance,1 / (rho_air * cp_air * infiltration),0.014903999999999999,VDI6007HourlyInput.ventilation_resistance_k_w,derived,0.05563522519803915,mapped,B. Directly derived from BESTEST - calculation should be verified,"Infiltration alone remains active 24 hours; window opening, MV and atrium NV are added hourly."
maximum heating capacity,not present,,HeatingCoil capacity,unknown,,unmapped,E. RClib implementation workaround - should ideally be removed/fixed,No shared heating power density or plant capacity is provided.
heating equipment,not present,,HeatingCoil,temporary default,direct electric heating coil; eta=1.0; electricity,provisional,D. Cross-model closure assumption - sensitivity required,Efficiency 1.0 is illustrative only for direct electric resistance conversion.
thermal capacitance density,default_params.json/thermal_capacitance_per_floor_area,42167.0,construction-capacity reconciliation diagnostic,direct,42167.0,available constraint,E. RClib implementation workaround - should ideally be removed/fixed,Does not uniquely determine AW/IW layer matrices or their capacity split; the adapter reports the residual.
